,id,X,NEST,av.food,av.trip.length,av.col.int,num.trips,SEASON,nest.seas,TYPE,CHICK,OUTCOME,hatch.seasday,cr.seasday,fail.seasday,cr.age,fail.age,last.day.2.chx,first.day.2.chx,sex,Parent_Age,Epy,Parent_Sex,weight.slope40,flipper.slope40,tibiotar.slope35,foot.slope35,bill.slopeall,CH_B,CH_S,mean.N,mean.C,cr.mass,resid.hatch,cr.flip,cr.tib,cr.foot,cr.bill,did.cr
22,1213-25-S,29,25,0.06271635,67.16416667,17.7425,2,1213,1213-25,WB,S,C,45,66,150,21,0,150,150,F,NA,NA,NA,98.14602588,3.703142329,2.877034358,0.891647856,0.228275442,0,1,10.385,-25.3,1797.996303,-4,135.1796673,123.403255,92.08126411,16.19216941,1
23,1213-26-A,30,26,0.284046594,15.15166667,29.56097222,2,1213,1213-26,WB,A,C,47,70,150,23,0,59,150,F,NA,NA,NA,67.79331132,4.321186441,2.355932203,0.705417607,0.184411718,0,0,10.655,-25.14,1908.354098,0,135.040678,121.2033898,93.49097065,15.33307187,1
24,1213-27-A,32,27,0.317370587,37.36533333,14.77772222,10,1213,1213-27,WB,A,C,46,67,150,21,0,150,150,M,NA,NA,NA,134.2243275,3.753485425,2.300380228,0.483562463,0.27663749,0,0,11.36,-24.785,2910.226696,-3,159.1780735,137.5285171,105.118948,18.19039306,1
25,1213-27-B,33,27,0.171857684,38.7025,13.58645062,9,1213,1213-27,WB,B,C,48,67,150,19,0,150,48,M,NA,NA,NA,86.6692607,4.587769328,2.620722433,0.972504483,0.19902147,1,0,10.17,-25.83,1590.922179,1,118.916033,113.0541825,90.72624029,15.60742775,1
26,1213-28-A,34,28,0.309875336,30.39068182,17.02762626,11,1213,1213-28,WB,A,C,46,65,150,19,0,150,150,M,NA,NA,NA,81.01051402,4.504621072,2.260628466,0.625183016,0.254229018,0,0,10.675,-25.22,1827.575935,-3,132.4066543,117.935305,96.52415813,16.82534157,1
27,1213-28-B,35,28,0.154937668,30.39068182,17.02762626,11,1213,1213-28,WB,B,C,48,65,150,17,0,150,48,F,NA,NA,NA,92.44353583,4.273937153,2.216266174,0.661786237,0.217642293,1,0,10.675,-25.115,1935.332944,1,129.9064695,119.0314233,97.35578331,16.0168924,1
13,1213-2-A,19,2,0.065411353,30.15868056,55.28986111,4,1213,1213-2,WB,A,C,47,68,150,21,0,67,150,M,NA,NA,NA,100.8083389,4.926361802,2.592468056,1.003194888,0.226908226,0,0,10.455,-25.575,1673.544048,-2,128.703766,114.798924,95.82747604,15.56725238,1
14,1213-2-B,20,2,0.032705677,30.15868056,55.28986111,4,1213,1213-2,WB,B,D,49,54,67,NA,18,67,49,M,NA,NA,NA,33.62295082,4.680327869,4.057377049,2.25,0.503442623,1,0,10.4,-25.57,195.0655738,2,15.7295082,37.66393443,45,7.759836066,0
28,1213-3-S,36,3,0.056928693,21.46680556,54.88,2,1213,1213-3,WB,S,C,53,72,150,19,0,150,150,M,NA,NA,NA,84.9173326,3.946541747,3.489649682,1.078152753,0.251788371,0,1,10.25,-25.25,1660.151557,4,124.7646735,121.7834395,93.94138544,16.06838799,1
29,1213-4-A,37,4,0.190481006,18.54368056,27.45409722,4,1213,1213-4,WB,A,C,43,68,150,25,0,150,150,F,NA,NA,NA,52.58551037,4.109345543,2.478417266,0.890862944,0.182715818,0,0,10.665,-25.01,1774.569082,-4,146.3151091,126.6438849,100.3045685,15.98926005,1
